filename,cell_count,wire_count
adder_32.v,1,284
adder_4.v,1,22
adder_16.v,1,130
adder_8.v,1,56
comparator_8bit.v,3,65
comparator_4bit.v,3,33
comparator_16bit.v,3,129
traffic_light_fsm.v,5,15
vending_machine_fsm.v,11,12
register_16bit.v,1,0
register_32bit.v,1,0
register_8bit.v,1,0
encoder_8to3.v,8,63
priority_encoder_8to3.v,15,68
encoder_4to2.v,13,32
right_shifter_16bit.v,0,0
left_shifter_8bit.v,0,0
left_shifter_16bit.v,0,0
right_shifter_8bit.v,0,0
barrel_shifter_8bit.v,1,36
decoder_3to8.v,2,17
decoder_2to4.v,1,8
decoder_4to16.v,2,34
counters_16bit.v,2,54
counter_8bit.v,2,24
counter_4bit.v,2,10
counters_32bit.v,2,116
mux16_1.v,0,0
mux8_1.v,0,0
mux4_1.v,6,14
mux2_1.v,1,4
multiplier_16bit.v,1,1609
multiplier_4bit.v,1,79
multiplier_8bit.v,1,383
multiplier_32bit.v,1,6425
alu_16bit.v,13,482
alu_8bit.v,13,242
alu_32bit.v,13,970
